name,make,model,type,taperType,taperSize,rpmLimit,rpmMinLimit,feedLimit,feedSecMode,hpLimit,sfmAdjust,chiploadAdjust,rapids,accel,weight,adjustMode,vmcRigidity,simAdj,tsc,pcn,flood,mist,slots,tcTime,xTravel,yTravel,zTravel,spindletime,wordtime,hourly,cooltime,controller,fourthAxis,parallelAxis,rapidsRate,xCenter,yCenter,zCenter,loRPM,loHP,peakRPM,peakHP,hiRPM,hiHP,SpindleCurve0RPM,SpindleCurve1RPM,SpindleCurve2RPM,SpindleCurve3RPM,SpindleCurve4RPM,SpindleCurve5RPM,SpindleCurve6RPM,SpindleCurve7RPM,SpindleCurve8RPM,SpindleCurve9RPM,SpindleCurve10RPM,SpindleCurve11RPM,SpindleCurve0HP,SpindleCurve1HP,SpindleCurve2HP,SpindleCurve3HP,SpindleCurve4HP,SpindleCurve5HP,SpindleCurve6HP,SpindleCurve7HP,SpindleCurve8HP,SpindleCurve9HP,SpindleCurve10HP,SpindleCurve11HP,version,changeDate,sessions
Bridgeport Series I Mill,Bridgeport,Series I Knee Mill,Mill,R8,40,4200,60,80, ,3,100,100,100,0.1,1930,0, ,100,false,false,false,false,1,60,33,12,5,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Carbide3D Nomad 883,Carbide3D,Nomad 883,Router,Other,11,10000,2000,80, ,0.067,100,100,100,0.1,50,0, ,100,false,false,false,false,1,60,8,8,3,2,5,60,1.5,GRBLMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Datron M7,Datron,M7,Mill,HSK,25,60000,1000,787, ,2.54,100,100,787,0.1,1584,0, ,100,false,false,true,true,30,5,20,25,9,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Datron M8,Datron,M8,Mill,HSK,25,40000,1000,787, ,3.82,100,100,787,0.1,1760,0, ,100,false,false,true,true,10,5,40,32,9,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Datron M8Cube,Datron,M8Cube,Mill,HSK,25,40000,1000,870, ,3.92,100,100,870,0.1,2886,0, ,100,false,false,true,true,10,5,40,32,9,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Fadal VMC 15,Fadal,VMC 15,Mill,CAT,40,7500,10,250, ,15,100,100,400,0.1,5500,0, ,100,false,false,true,true,21,5,20,16,20,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Fadal VMC 15XT,Fadal,VMC 15XT,Mill,CAT,40,7500,10,250, ,15,100,100,400,0.1,5800,0, ,100,false,false,true,true,21,5,30,16,20,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Fadal VMC 4020,Fadal,VMC 4020,Mill,CAT,40,10000,10,400, ,15,100,100,900,0.1,10500,0, ,100,false,false,true,true,21,5,40,20,20,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Fadal VMC 4525,Fadal,VMC 4525,Mill,CAT,40,10000,10,400, ,22.5,100,100,900,0.1,13600,0, ,100,false,false,true,true,21,5,45,25,24,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Generic CNC Lathe,Generic,Lathe,Lathe,A2,40,2000,0,75, ,7.5,100,100,75,0.1,0,0, ,100,false,false,true,true,0,3,8,0,30,2,5,60,1.5,FanucLathe,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Generic CNC Router,Generic,Router,Mill,Other,40,24000,12000,400, ,2,100,100,400,0.1,1200,0, ,100,false,false,false,true,1,120,96,48,10,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Generic VMC,Generic,VMC,Mill,CAT,40,7500,0,650, ,20,100,100,1000,0.1,5000,0, ,100,false,false,true,true,20,5,20,16,20,2,5,60,1.5,FanucMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Haas Minimill,Haas,Minimill,Mill,CAT,40,6000,0,500, ,7.5,100,100,600,0.1,3400,0, ,100,false,false,true,true,10,5,16,12,10,2,5,60,1.5,HaasMill,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Haas ST-10,Haas,ST-10,Lathe,A2,40,6000,0,1200, ,15,100,100,1200,0.1,5000,0, ,100,false,false,true,true,12,0.5,7.88,0,14,2,5,60,1.5,HaasLathe,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
Haas TL-1,Haas,TL-1,Lathe,A2,40,2000,0,75, ,7.5,100,100,75,0.1,4100,0, ,100,false,false,true,true,0,60,8,0,29,2,5,60,1.5,HaasLathe,A,X,1800,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.96,Mon Mar 27 16:38:01 GMT-0600 2017,0
